X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process,Clamp_Pressure
141.00,0.13,50.00,141.00,0.00,0.00,-3.38,0.07,327.00,5.93,0.00,98.80,3.00,12.50,98.90,3.00,0.00,5.74,0.10,325.00,9.13,0.00,29.70,0.00,0.00,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1300.00,53.30,-29.90,1300.00,53.30,0.00,23.00,0.98,319.00,116.00,0.19,12.00,1.00,2.00,3.00,Prep,3.00
141.00,-0.10,-50.00,141.00,0.00,0.00,-2.54,0.05,327.00,5.04,0.00,99.10,2.80,12.50,99.10,3.00,0.00,5.41,0.09,325.00,10.40,0.00,29.70,-0.03,-6.25,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1300.00,53.30,-44.40,1300.00,53.30,0.00,24.40,0.99,323.00,117.00,0.19,12.00,1.00,26.00,3.00,Prep,3.00
141.00,-0.13,-62.50,141.00,0.00,0.00,-2.70,0.05,327.00,3.93,0.00,99.40,2.85,0.00,99.40,3.00,0.00,2.51,0.05,326.00,8.86,0.00,29.70,-0.03,-12.50,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1310.00,53.40,9.25,1310.00,53.30,0.00,15.10,0.83,324.00,115.00,0.16,12.00,1.00,26.00,3.00,Prep,3.00
141.00,0.15,68.70,141.00,0.00,0.00,-4.18,0.07,327.00,5.20,0.00,99.70,2.67,-62.50,99.80,3.00,0.00,4.45,0.07,325.00,9.91,0.00,29.70,-0.03,-12.50,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1310.00,53.40,26.40,1310.00,53.30,0.00,18.10,0.91,318.00,113.00,0.17,12.00,1.00,26.00,3.00,Prep,3.00
141.00,-0.10,-50.00,141.00,0.00,0.00,-2.15,0.06,327.00,5.42,0.00,100.00,3.05,-6.25,100.00,3.00,0.00,1.78,0.04,325.00,6.90,0.00,29.70,0.00,-6.25,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1320.00,53.30,-37.10,1320.00,53.30,0.00,21.90,0.97,323.00,119.00,0.19,12.00,1.00,26.00,3.00,Prep,3.00
141.00,-0.13,-50.00,141.00,0.00,0.00,-2.24,0.05,327.00,5.22,0.00,100.00,3.25,31.30,100.00,3.00,0.00,1.72,0.06,326.00,8.75,0.00,29.70,0.00,0.00,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1320.00,53.40,26.60,1320.00,53.30,0.00,17.20,0.72,324.00,117.00,0.14,12.00,1.00,26.00,3.00,Prep,3.00
141.00,0.15,68.70,141.00,0.00,0.00,-2.75,0.07,327.00,6.72,0.00,101.00,3.10,-12.50,101.00,3.00,0.00,3.06,0.05,326.00,7.36,0.00,29.70,0.00,6.25,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1330.00,53.40,37.30,1330.00,53.30,0.00,19.80,0.84,319.00,115.00,0.16,12.00,1.00,26.00,3.00,Prep,3.00
141.00,-0.10,-43.80,141.00,0.00,0.00,-3.04,0.05,327.00,4.20,0.00,101.00,2.70,-6.25,101.00,3.00,0.00,-0.73,0.08,325.00,10.70,0.00,29.70,-0.03,-6.25,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1330.00,53.40,20.80,1330.00,53.30,0.00,16.00,0.89,323.00,117.00,0.17,12.00,1.00,26.00,3.00,Prep,3.00
141.00,-0.10,-50.00,141.00,0.00,0.00,-2.15,0.05,327.00,5.38,0.00,101.00,2.85,-12.50,101.00,3.00,0.00,5.52,0.08,326.00,9.18,0.00,29.70,0.00,-6.25,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1340.00,53.40,19.30,1340.00,53.30,0.00,21.50,0.73,324.00,115.00,0.14,12.00,1.00,28.00,3.00,Prep,3.00
141.00,0.15,68.70,141.00,0.00,0.00,-3.29,0.07,327.00,6.31,0.00,101.00,2.83,-50.00,102.00,3.00,0.00,6.65,0.10,325.00,8.84,0.00,29.70,0.00,6.25,29.70,0.00,0.00,0.00,0.00,0.00,0.00,1340.00,53.30,8.75,1350.00,53.30,0.00,22.40,0.84,320.00,118.00,0.16,12.00,1.00,28.00,3.00,Prep,3.00
